Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
50,Fall - 2016,(low),131,0.16,0.14,0.37,0.362,colorimetric,NA,0.491,0.16,0.37,NA,0.53,NA,c,NA,NA,0.039,NA,7.94,,
50,Fall - 2018,(high),140,0.49,0.486,0.722,0.663,colorimetric,NA,1.14,0.49,0.722,NA,1.212,NA,c,NA,NA,0.072,NA,6.32,,
50,Fall - 2018,(low),139,0.106,0.111,0.213,0.2,colorimetric,NA,0.307,0.106,0.213,NA,0.319,NA,c,NA,NA,0.012,NA,3.91,,
50,Spring - 2012,(high),114,0.88,1.03,1.14,1.13,colorimetric,NA,2.15,0.88,1.14,NA,2.02,NA,c,NA,NA,-0.13,NA,-6.05,,
50,Spring - 2012,(low),113,0.2,0.258,0.11,0.107,colorimetric,NA,0.349,0.2,0.11,NA,0.31,NA,c,NA,NA,-0.039,NA,-11.17,,
50,Spring - 2013,(high),118,0.94,0.93,0.59,0.59,colorimetric,NA,1.48,0.94,0.59,NA,1.53,NA,c,NA,NA,0.05,NA,3.38,,
50,Spring - 2013,(low),117,0.42,0.44,0.22,0.22,colorimetric,NA,0.641,0.42,0.22,NA,0.64,NA,c,NA,NA,-0.001,NA,-0.16,,
50,Spring - 2014,(high),122,0.6,0.59,1.1,1.1,colorimetric,NA,1.7,0.6,1.1,NA,1.7,NA,c,NA,NA,0,NA,0,,
50,Spring - 2014,(low),121,0.13,0.139,0.41,0.418,colorimetric,NA,0.555,0.13,0.41,NA,0.54,NA,c,NA,NA,-0.015,NA,-2.7,,
50,Spring - 2015,(high),126,0.28,0.392,1.51,1.48,colorimetric,NA,1.86,0.28,1.51,NA,1.79,NA,c,NA,NA,-0.07,NA,-3.76,,
50,Spring - 2015,(low),125,0.14,0.162,0.31,0.307,colorimetric,NA,0.464,0.14,0.31,NA,0.45,NA,c,NA,NA,-0.014,NA,-3.02,,
50,Spring - 2016,(high),130,0.51,0.547,1.82,1.81,colorimetric,NA,2.32,0.51,1.82,NA,2.33,NA,c,NA,NA,0.01,NA,0.43,,
50,Spring - 2016,(low),129,0.31,0.24,0.26,0.267,colorimetric,NA,0.48,0.31,0.26,NA,0.57,NA,c,NA,NA,0.09,NA,18.75,,
50,Spring - 2018,(high),138,0.51,0.495,0.82,0.79,colorimetric,NA,1.27,0.51,0.82,NA,1.33,NA,c,NA,NA,0.06,NA,4.72,,
59,Fall - 2012,(high),116,0.35,0.428,0.45,0.445,colorimetric,0.87,0.889,0.35,0.45,0.87,0.8,-0.07,d,colorimetric,-0.019,-0.089,-2.14,-10.01,,
59,Fall - 2012,(low),115,0.19,0.264,0.23,0.228,colorimetric,0.46,0.463,0.19,0.23,0.46,0.42,-0.04,d,colorimetric,-0.003,-0.043,-0.65,-9.29,,
59,Fall - 2013,(high),120,0.55,0.54,0.69,0.692,colorimetric,1.25,1.21,0.55,0.69,1.25,1.24,-0.01,d,colorimetric,0.04,0.03,3.31,2.48,,
59,Fall - 2013,(low),119,0.26,0.267,0.28,0.271,colorimetric,0.54,0.536,0.26,0.28,0.54,0.54,0,d,colorimetric,0.004,0.004,0.75,0.75,,
59,Fall - 2014,(high),124,0.15,0.212,0.54,0.556,colorimetric,0.75,0.73,0.15,0.54,0.75,0.69,-0.06,d,colorimetric,0.02,-0.04,2.74,-5.48,,
59,Fall - 2014,(low),123,0.28,0.32,0.25,0.257,colorimetric,0.56,0.555,0.28,0.25,0.56,0.53,-0.03,d,colorimetric,0.005,-0.025,0.9,-4.5,,
59,Fall - 2015,(high),128,0.51,0.518,3.11,3.04,colorimetric,3.57,3.53,0.51,3.11,3.57,3.62,0.05,d,colorimetric,0.04,0.09,1.13,2.55,,
59,Fall - 2015,(low),127,0.13,0.139,0.31,0.302,colorimetric,0.43,0.437,0.13,0.31,0.43,0.44,0.01,d,colorimetric,-0.007,0.003,-1.6,0.69,,
59,Fall - 2016,(high),132,0.27,0.317,0.935,0.933,colorimetric,1.25,1.24,0.27,0.935,1.25,1.205,-0.045,d,colorimetric,0.01,-0.035,0.81,-2.82,,
59,Fall - 2016,(low),131,<0.1,0.14,0.359,0.362,colorimetric,0.48,0.491,NA,0.359,0.48,NA,NA,d,colorimetric,-0.011,NA,-2.24,NA,,A
59,Fall - 2018,(high),140,0.46,0.486,0.67,0.663,colorimetric,1.12,1.14,0.46,0.67,1.12,1.13,0.01,d,colorimetric,-0.02,-0.01,-1.75,-0.88,,
59,Fall - 2018,(low),139,0.1,0.111,0.19,0.2,colorimetric,0.31,0.307,0.1,0.19,0.31,0.29,-0.02,d,colorimetric,0.003,-0.017,0.98,-5.54,,
59,Spring - 2012,(high),114,1.05,1.03,1.117,1.13,colorimetric,2.26,2.15,1.05,1.117,2.26,2.167,-0.093,d,colorimetric,0.11,0.017,5.12,0.79,,
59,Spring - 2012,(low),113,0.25,0.258,0.107,0.107,colorimetric,0.346,0.349,0.25,0.107,0.346,0.357,0.011,d,colorimetric,-0.003,0.008,-0.86,2.29,,
59,Spring - 2013,(high),118,0.95,0.93,0.59,0.59,colorimetric,1.42,1.48,0.95,0.59,1.42,1.54,0.12,d,colorimetric,-0.06,0.06,-4.05,4.05,,
59,Spring - 2013,(low),117,0.45,0.44,0.22,0.22,colorimetric,0.63,0.641,0.45,0.22,0.63,0.67,0.04,d,colorimetric,-0.011,0.029,-1.72,4.52,,
59,Spring - 2014,(high),122,0.58,0.59,1.1,1.1,colorimetric,1.66,1.7,0.58,1.1,1.66,1.68,0.02,d,colorimetric,-0.04,-0.02,-2.35,-1.18,,
59,Spring - 2014,(low),121,0.12,0.139,0.419,0.418,colorimetric,0.57,0.555,0.12,0.419,0.57,0.539,-0.031,d,colorimetric,0.015,-0.016,2.7,-2.88,,
59,Spring - 2015,(high),126,0.32,0.392,1.48,1.48,colorimetric,1.86,1.86,0.32,1.48,1.86,1.8,-0.06,d,colorimetric,0,-0.06,0,-3.23,,
59,Spring - 2015,(low),125,0.13,0.162,0.306,0.307,colorimetric,0.483,0.464,0.13,0.306,0.483,0.436,-0.047,d,colorimetric,0.019,-0.028,4.09,-6.03,,
59,Spring - 2016,(high),130,0.52,0.547,1.85,1.81,colorimetric,2.32,2.32,0.52,1.85,2.32,2.37,0.05,d,colorimetric,0,0.05,0,2.16,,
59,Spring - 2016,(low),129,0.17,0.24,0.27,0.267,colorimetric,0.46,0.48,0.17,0.27,0.46,0.44,-0.02,d,colorimetric,-0.02,-0.04,-4.17,-8.33,,
59,Spring - 2017,(high),134,0.22,0.196,0.8,0.801,colorimetric,0.94,0.98,0.22,0.8,0.94,1.02,0.08,d,colorimetric,-0.04,0.04,-4.08,4.08,,
59,Spring - 2017,(low),133,0.11,0.134,0.09,0.09,colorimetric,0.18,0.199,0.11,0.09,0.18,0.2,0.02,d,colorimetric,-0.019,0.001,-9.55,0.5,,
59,Spring - 2018,(high),138,0.49,0.495,0.772,0.79,colorimetric,1.28,1.27,0.49,0.772,1.28,1.262,-0.018,d,colorimetric,0.01,-0.008,0.79,-0.63,,
59,Spring - 2018,(low),137,0.13,0.143,0.322,0.326,colorimetric,0.45,0.45,0.13,0.322,0.45,0.452,0.002,d,colorimetric,0,0.002,0,0.44,,
64,Fall - 2012,(high),116,NA,NA,0.46,0.445,NA,0.86,0.889,NA,0.46,0.86,NA,NA,d,colorimetric,-0.029,NA,-3.26,NA,,
64,Fall - 2012,(low),115,NA,NA,0.24,0.228,NA,0.46,0.463,NA,0.24,0.46,NA,NA,d,colorimetric,-0.003,NA,-0.65,NA,,
64,Fall - 2014,(high),124,NA,NA,0.57,0.556,NA,0.74,0.73,NA,0.57,0.74,NA,NA,d,colorimetric,0.01,NA,1.37,NA,,
64,Fall - 2014,(low),123,NA,NA,0.26,0.257,NA,0.54,0.555,NA,0.26,0.54,NA,NA,d,colorimetric,-0.015,NA,-2.7,NA,,
64,Fall - 2016,(high),132,NA,NA,NA,NA,NA,1.23,1.24,NA,NA,1.23,NA,NA,d,colorimetric,-0.01,NA,-0.81,NA,,
64,Fall - 2016,(low),131,NA,NA,0.37,0.362,NA,0.5,0.491,NA,0.37,0.5,NA,NA,d,colorimetric,0.009,NA,1.83,NA,,
64,Spring - 2015,(high),126,NA,NA,1.499,1.48,NA,1.863,1.86,NA,1.499,1.863,NA,NA,d,colorimetric,0.003,NA,0.16,NA,,
64,Spring - 2015,(low),125,NA,NA,0.311,0.307,NA,0.452,0.464,NA,0.311,0.452,NA,NA,d,colorimetric,-0.012,NA,-2.59,NA,,
64,Spring - 2017,(high),134,NA,NA,0.8102,0.801,NA,0.9819,0.98,NA,0.8102,0.9819,NA,NA,d,colorimetric,0.0019,NA,0.19,NA,,
64,Spring - 2017,(low),133,NA,NA,0.09,0.09,NA,0.2188,0.199,NA,0.0897,0.2188,NA,NA,d,colorimetric,0.0198,NA,9.95,NA,,
72,Fall - 2012,(high),116,0.412,0.428,0.468,0.445,colorimetric,NA,0.889,0.412,0.468,NA,0.88,NA,c,NA,NA,-0.009,NA,-1.01,,
72,Fall - 2012,(low),115,0.262,0.264,0.252,0.228,colorimetric,NA,0.463,0.262,0.252,NA,0.514,NA,c,NA,NA,0.051,NA,11.02,,
72,Fall - 2013,(high),120,0.437,0.54,0.707,0.692,colorimetric,NA,1.21,0.437,0.707,NA,1.144,NA,c,NA,NA,-0.066,NA,-5.45,,
72,Fall - 2013,(low),119,0.215,0.267,0.288,0.271,colorimetric,NA,0.536,0.215,0.288,NA,0.503,NA,c,NA,NA,-0.033,NA,-6.16,,
72,Fall - 2014,(high),124,0.171,0.212,0.553,0.556,colorimetric,NA,0.73,0.171,0.553,NA,0.724,NA,c,NA,NA,-0.006,NA,-0.82,,
72,Fall - 2014,(low),123,0.292,0.32,0.266,0.257,colorimetric,NA,0.555,0.292,0.266,NA,0.558,NA,c,NA,NA,0.003,NA,0.54,,
72,Fall - 2015,(high),128,0.473,0.518,3.18,3.04,colorimetric,NA,3.53,0.473,3.18,NA,3.653,NA,c,NA,NA,0.123,NA,3.48,,
72,Fall - 2015,(low),127,0.144,0.139,0.326,0.302,colorimetric,NA,0.437,0.144,0.326,NA,0.47,NA,c,NA,NA,0.033,NA,7.55,,
72,Fall - 2016,(high),132,0.306,0.317,0.935,0.933,colorimetric,NA,1.24,0.306,0.935,NA,1.241,NA,c,NA,NA,0.001,NA,0.08,,
72,Fall - 2016,(low),131,0.156,0.14,0.367,0.362,colorimetric,NA,0.491,0.156,0.367,NA,0.523,NA,c,NA,NA,0.032,NA,6.52,,
72,Fall - 2017,(high),136,0.282,0.409,0.635,0.639,colorimetric,NA,1.06,0.282,0.635,NA,0.917,NA,c,NA,NA,-0.143,NA,-13.49,,
72,Fall - 2017,(low),135,0.195,0.18,0.428,0.436,colorimetric,NA,0.616,0.195,0.428,NA,0.623,NA,c,NA,NA,0.007,NA,1.14,,
72,Fall - 2018,(high),140,0.419,0.486,0.651,0.663,colorimetric,NA,1.14,0.419,0.651,NA,1.07,NA,c,NA,NA,-0.07,NA,-6.14,,
72,Fall - 2018,(low),139,0.0755,0.111,0.2,0.2,colorimetric,NA,0.307,0.0755,0.2,NA,0.2755,NA,c,NA,NA,-0.0315,NA,-10.26,,
72,Spring - 2012,(high),114,0.98,1.03,1.25,1.13,colorimetric,NA,2.15,0.98,1.25,NA,2.23,NA,c,NA,NA,0.08,NA,3.72,,
72,Spring - 2012,(low),113,0.226,0.258,0.109,0.107,colorimetric,NA,0.349,0.226,0.109,NA,0.335,NA,c,NA,NA,-0.014,NA,-4.01,,
72,Spring - 2013,(high),118,0.922,0.93,0.573,0.59,colorimetric,NA,1.48,0.922,0.573,NA,1.495,NA,c,NA,NA,0.015,NA,1.01,,
72,Spring - 2013,(low),117,0.432,0.44,0.22,0.22,colorimetric,NA,0.641,0.432,0.22,NA,0.652,NA,c,NA,NA,0.011,NA,1.72,,
72,Spring - 2014,(high),122,0.546,0.59,1.12,1.1,colorimetric,NA,1.7,0.546,1.12,NA,1.666,NA,c,NA,NA,-0.034,NA,-2,,
72,Spring - 2014,(low),121,0.163,0.139,0.407,0.418,colorimetric,NA,0.555,0.163,0.407,NA,0.57,NA,c,NA,NA,0.015,NA,2.7,,
72,Spring - 2015,(high),126,0.39,0.392,1.48,1.48,colorimetric,NA,1.86,0.39,1.48,NA,1.87,NA,c,NA,NA,0.01,NA,0.54,,
72,Spring - 2015,(low),125,0.189,0.162,0.324,0.307,colorimetric,NA,0.464,0.189,0.324,NA,0.513,NA,c,NA,NA,0.049,NA,10.56,,
72,Spring - 2016,(high),130,0.474,0.547,1.81,1.81,colorimetric,NA,2.32,0.474,1.81,NA,2.284,NA,c,NA,NA,-0.036,NA,-1.55,,
72,Spring - 2016,(low),129,0.196,0.24,0.265,0.267,colorimetric,NA,0.48,0.196,0.265,NA,0.461,NA,c,NA,NA,-0.019,NA,-3.96,,
72,Spring - 2017,(high),134,0.172,0.196,0.765,0.801,colorimetric,NA,0.98,0.172,0.765,NA,0.937,NA,c,NA,NA,-0.043,NA,-4.39,,
72,Spring - 2017,(low),133,0.102,0.134,0.088,0.09,colorimetric,NA,0.199,0.102,0.0883,NA,0.1903,NA,c,NA,NA,-0.0087,NA,-4.37,,
72,Spring - 2018,(high),138,0.424,0.495,0.797,0.79,colorimetric,NA,1.27,0.424,0.797,NA,1.221,NA,c,NA,NA,-0.049,NA,-3.86,,
72,Spring - 2018,(low),137,0.124,0.143,0.332,0.326,colorimetric,NA,0.45,0.124,0.332,NA,0.456,NA,c,NA,NA,0.006,NA,1.33,,
80,Spring - 2012,(high),114,NA,NA,1.14,1.13,NA,2.29,2.15,NA,1.14,2.29,NA,NA,d,colorimetric,0.14,NA,6.51,NA,,
80,Spring - 2012,(low),113,NA,NA,0.11,0.107,NA,0.329,0.349,NA,0.11,0.329,NA,NA,d,colorimetric,-0.02,NA,-5.73,NA,,
85,Fall - 2012,(high),116,0.38,0.428,0.46,0.445,Colorimetric,NA,0.889,0.38,0.46,NA,0.84,NA,c,NA,NA,-0.049,NA,-5.51,,
85,Fall - 2012,(low),115,0.28,0.264,0.23,0.228,colorimetric,NA,0.463,0.28,0.23,NA,0.51,NA,c,NA,NA,0.047,NA,10.15,,
85,Fall - 2013,(high),120,0.52,0.54,0.686,0.692,colorimetric,NA,1.21,0.52,0.686,NA,1.206,NA,c,NA,NA,-0.004,NA,-0.33,,
85,Fall - 2013,(low),119,0.23,0.267,0.274,0.271,colorimetric,NA,0.536,0.23,0.274,NA,0.504,NA,c,NA,NA,-0.032,NA,-5.97,,
85,Fall - 2016,(high),132,0.294,0.317,0.924,0.933,colorimetric,1.218,1.24,0.294,0.924,1.218,1.218,0,c,colorimetric,NA,-0.022,NA,-1.77,,
85,Fall - 2016,(low),131,0.112,0.14,0.368,0.362,colorimetric,0.479,0.491,0.112,0.368,0.479,0.48,0.001,c,colorimetric,NA,-0.011,NA,-2.24,,
85,Fall - 2017,(high),136,0.375,0.409,0.613,0.639,colorimetric,0.988,1.06,0.375,0.613,0.988,0.988,0,c,colorimetric,NA,-0.072,NA,-6.79,,
85,Fall - 2017,(low),135,0.166,0.18,0.431,0.436,colorimetric,0.597,0.616,0.166,0.431,0.597,0.597,0,c,colorimetric,NA,-0.019,NA,-3.08,,
85,Spring - 2012,(high),114,1.03,1.03,1.15,1.13,colorimetric,NA,2.15,1.03,1.15,NA,2.18,NA,c,NA,NA,0.03,NA,1.4,,
85,Spring - 2012,(low),113,0.24,0.258,0.107,0.107,colorimetric,NA,0.349,0.24,0.107,NA,0.347,NA,c,NA,NA,-0.002,NA,-0.57,,
85,Spring - 2013,(high),118,0.89,0.93,0.598,0.59,colorimetric,NA,1.48,0.89,0.598,NA,1.488,NA,c,NA,NA,0.008,NA,0.54,,
85,Spring - 2013,(low),117,0.43,0.44,0.221,0.22,colorimetric,NA,0.641,0.43,0.221,NA,0.651,NA,c,NA,NA,0.01,NA,1.56,,
85,Spring - 2016,(high),130,0.6,0.547,1.768,1.81,colorimetric,2.4,2.32,0.6,1.768,2.4,2.368,-0.032,c,colorimetric,NA,0.048,NA,2.07,,
85,Spring - 2016,(low),129,0.25,0.24,0.262,0.267,colorimetric,0.52,0.48,0.25,0.262,0.52,0.512,-0.008,d,colorimetric,0.04,0.032,8.33,6.67,,
85,Spring - 2016,(low),129,0.25,0.24,0.262,0.267,colorimetric,0.52,0.48,0.25,0.262,0.52,0.512,-0.008,c,colorimetric,NA,0.032,NA,6.67,,
85,Spring - 2017,(high),134,0.166,0.196,0.791,0.801,colorimetric,0.957,0.98,0.166,0.791,0.957,0.957,0,c,colorimetric,NA,-0.023,NA,-2.35,,
85,Spring - 2017,(low),133,0.104,0.134,0.089,0.09,colorimetric,0.194,0.199,0.104,0.089,0.194,0.193,-0.001,d,colorimetric,NA,-0.006,NA,-3.02,,
85,Spring - 2017,(low),133,0.104,0.134,0.089,0.09,colorimetric,0.194,0.199,0.104,0.089,0.194,0.193,-0.001,c,colorimetric,NA,-0.006,NA,-3.02,,
85,Spring - 2018,(high),138,0.471,0.495,0.768,0.79,colorimetric,1.238,1.27,0.471,0.768,1.238,1.239,0.001,c,colorimetric,NA,-0.031,NA,-2.44,,
85,Spring - 2018,(low),137,0.126,0.143,0.321,0.326,colorimetric,0.447,0.45,0.126,0.321,0.447,0.447,0,c,colorimetric,NA,-0.003,NA,-0.67,,
86,Spring - 2012,(high),114,1.33,1.03,1.273,1.13,colorimetric,NA,2.15,1.33,1.273,NA,2.603,NA,c,NA,NA,0.453,NA,21.07,,
91,Fall - 2012,(high),116,0.453,0.428,0.441,0.445,colorimetric,NA,0.889,0.453,0.441,NA,0.894,NA,c,NA,NA,0.005,NA,0.56,,
91,Fall - 2012,(low),115,0.322,0.264,0.226,0.228,colorimetric,NA,0.463,0.322,0.226,NA,0.548,NA,c,NA,NA,0.085,NA,18.36,,
91,Fall - 2013,(high),120,0.575,0.54,0.694,0.692,colorimetric,NA,1.21,0.575,0.694,NA,1.269,NA,c,NA,NA,0.059,NA,4.88,,
91,Fall - 2013,(low),119,0.308,0.267,0.27,0.271,colorimetric,NA,0.536,0.308,0.27,NA,0.578,NA,c,NA,NA,0.042,NA,7.84,,
91,Fall - 2014,(high),124,0.271,0.212,0.574,0.556,colorimetric,NA,0.73,0.271,0.574,NA,0.845,NA,c,NA,NA,0.115,NA,15.75,,
91,Fall - 2014,(low),123,0.298,0.32,0.261,0.257,colorimetric,NA,0.555,0.298,0.261,NA,0.559,NA,c,NA,NA,0.004,NA,0.72,,
91,Fall - 2015,(high),128,0.5,0.518,3.06,3.04,colorimetric,NA,3.53,0.5,3.06,NA,3.56,NA,c,NA,NA,0.03,NA,0.85,,
91,Fall - 2015,(low),127,<0.20,0.139,0.311,0.302,colorimetric,NA,0.437,NA,0.311,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
91,Fall - 2016,(high),132,0.326,0.317,0.95,0.933,colorimetric,NA,1.24,0.326,0.95,NA,1.276,NA,c,NA,NA,0.036,NA,2.9,,
91,Fall - 2016,(low),131,<0.20,0.14,0.377,0.362,colorimetric,NA,0.491,NA,0.377,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
91,Fall - 2017,(high),136,0.391,0.409,0.642,0.639,colorimetric,NA,1.06,0.391,0.642,NA,1.033,NA,c,NA,NA,-0.027,NA,-2.55,,
91,Fall - 2017,(low),135,0.217,0.18,0.442,0.436,colorimetric,NA,0.616,0.217,0.442,NA,0.659,NA,c,NA,NA,0.043,NA,6.98,,
91,Fall - 2018,(high),140,0.533,0.486,0.662,0.663,colorimetric,NA,1.14,0.533,0.662,NA,1.195,NA,c,NA,NA,0.055,NA,4.82,,
91,Fall - 2018,(low),139,<0.20,0.111,0.214,0.2,colorimetric,NA,0.307,NA,0.214,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
91,Spring - 2012,(high),114,1.06,1.03,1.09,1.13,colorimetric,NA,2.15,1.06,1.09,NA,2.15,NA,c,NA,NA,0,NA,0,,
91,Spring - 2012,(low),113,0.249,0.258,0.105,0.107,colorimetric,NA,0.349,0.249,0.105,NA,0.354,NA,c,NA,NA,0.005,NA,1.43,,
91,Spring - 2014,(high),122,0.765,0.59,1.06,1.1,colorimetric,NA,1.7,0.765,1.06,NA,1.825,NA,c,NA,NA,0.125,NA,7.35,,
91,Spring - 2014,(low),121,0,0.139,0.405,0.418,colorimetric,NA,0.555,0,0.405,NA,0.405,NA,c,NA,NA,-0.15,NA,-27.03,,
91,Spring - 2015,(high),126,0.429,0.392,1.48,1.48,colorimetric,NA,1.86,0.429,1.48,NA,1.909,NA,c,NA,NA,0.049,NA,2.63,,
91,Spring - 2015,(low),125,<0.20,0.162,0.306,0.307,colorimetric,NA,0.464,NA,0.306,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
91,Spring - 2016,(high),130,0.56,0.547,1.78,1.81,colorimetric,NA,2.32,0.56,1.78,NA,2.34,NA,c,NA,NA,0.02,NA,0.86,,
91,Spring - 2016,(low),129,0.253,0.24,0.255,0.267,colorimetric,NA,0.48,0.253,0.255,NA,0.508,NA,c,NA,NA,0.028,NA,5.83,,
91,Spring - 2017,(high),134,0.295,0.196,0.738,0.801,colorimetric,NA,0.98,0.295,0.738,NA,1.033,NA,c,NA,NA,0.053,NA,5.41,,
91,Spring - 2017,(low),133,<0.20,0.134,0.098,0.09,colorimetric,NA,0.199,NA,0.098,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
91,Spring - 2018,(high),138,0.544,0.495,0.779,0.79,colorimetric,NA,1.27,0.544,0.779,NA,1.323,NA,c,NA,NA,0.053,NA,4.17,,
91,Spring - 2018,(low),137,<0.20,0.143,0.32,0.326,colorimetric,NA,0.45,NA,0.32,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
97,Spring - 2012,(high),114,0.86,1.03,1.19,1.13,colorimetric,2.05,2.15,0.86,1.19,2.05,2.05,0,c,other,NA,-0.1,NA,-4.65,,
97,Spring - 2012,(low),113,0.2,0.258,0.11,0.107,colorimetric,0.31,0.349,0.2,0.11,0.31,0.31,0,c,other,NA,-0.039,NA,-11.17,,
102,Fall - 2012,(high),116,0.4,0.428,0.404,0.445,IC,NA,0.889,0.4,0.404,NA,0.804,NA,c,NA,NA,-0.085,NA,-9.56,,
102,Fall - 2013,(high),120,0.41,0.54,0.665,0.692,IC,NA,1.21,0.41,0.665,NA,1.075,NA,c,NA,NA,-0.135,NA,-11.16,,
102,Fall - 2013,(low),119,0.24,0.267,0.26,0.271,IC,NA,0.536,0.24,0.26,NA,0.5,NA,c,NA,NA,-0.036,NA,-6.72,,F
102,Fall - 2014,(high),124,0.285,0.212,0.472,0.556,IC,NA,0.73,0.285,0.472,NA,0.757,NA,c,NA,NA,0.027,NA,3.7,,
102,Fall - 2014,(low),123,0.53,0.32,0.212,0.257,IC,NA,0.555,0.53,0.212,NA,0.742,NA,c,NA,NA,0.187,NA,33.69,,X
102,Fall - 2015,(high),128,1.03,0.518,2.866,3.04,IC,NA,3.53,1.03,2.866,NA,3.896,NA,c,NA,NA,0.366,NA,10.37,,
102,Fall - 2015,(low),127,0.24,0.139,0.24,0.302,IC,NA,0.437,0.24,0.24,NA,0.48,NA,c,NA,NA,0.043,NA,9.84,,F
102,Fall - 2018,(high),140,0.355,0.486,0.445,0.663,IC,NA,1.14,0.355,0.445,NA,0.8,NA,c,NA,NA,-0.34,NA,-29.82,,F
102,Fall - 2018,(low),139,0.01,0.111,0.465,0.2,IC,NA,0.307,0.01,0.465,NA,0.475,NA,c,NA,NA,0.168,NA,54.72,,"B, F"
102,Spring - 2012,(high),114,1,1.03,1.16,1.13,IC,NA,2.15,1,1.16,NA,2.16,NA,c,NA,NA,0.01,NA,0.47,,
102,Spring - 2013,(high),118,1,0.93,0.56,0.59,IC,NA,1.48,1,0.56,NA,1.56,NA,c,NA,NA,0.08,NA,5.41,,F
102,Spring - 2014,(high),122,0.62,0.59,1,1.1,IC,NA,1.7,0.62,1,NA,1.62,NA,c,NA,NA,-0.08,NA,-4.71,,
102,Spring - 2014,(low),121,0.168,0.139,0.362,0.418,IC,NA,0.555,0.168,0.362,NA,0.53,NA,c,NA,NA,-0.025,NA,-4.5,,F
102,Spring - 2015,(high),126,0.4,0.392,1.302,1.48,IC,NA,1.86,0.4,1.302,NA,1.702,NA,c,NA,NA,-0.158,NA,-8.49,,
102,Spring - 2015,(low),125,0.19,0.162,0.23,0.307,IC,NA,0.464,0.19,0.23,NA,0.42,NA,c,NA,NA,-0.044,NA,-9.48,,F
105,Fall - 2012,(low),115,NA,NA,0.23,0.228,NA,0.42,0.463,NA,0.23,0.42,NA,NA,d,colorimetric,-0.043,NA,-9.29,NA,,
105,Fall - 2013,(low),119,<1.00,0.267,0.28,0.271,NA,0.53,0.536,NA,0.28,0.53,NA,NA,d,colorimetric,-0.006,NA,-1.12,NA,,A
105,Fall - 2014,(low),123,NA,NA,0.24,0.257,NA,0.56,0.555,NA,0.24,0.56,NA,NA,d,colorimetric,0.005,NA,0.9,NA,,
105,Fall - 2015,(low),127,<1.00,0.139,0.29,0.302,NA,0.37,0.437,NA,0.29,0.37,NA,NA,d,colorimetric,-0.067,NA,-15.33,NA,,A
105,Fall - 2016,(low),131,<1.00,0.14,0.38,0.362,NA,0.52,0.491,NA,0.38,0.52,NA,NA,d,colorimetric,0.029,NA,5.91,NA,,A
105,Fall - 2017,(low),135,<1.00,0.18,0.43,0.436,NA,0.64,0.616,NA,0.43,0.64,NA,NA,d,colorimetric,0.024,NA,3.9,NA,,A
105,Fall - 2018,(low),139,<1.00,0.111,0.2,0.2,NA,0.27,0.307,NA,0.2,0.27,NA,NA,d,colorimetric,-0.037,NA,-12.05,NA,,A
105,Spring - 2012,(low),113,NA,NA,0.1,0.107,NA,0.3,0.349,NA,0.1,0.3,NA,NA,d,colorimetric,-0.049,NA,-14.04,NA,,
105,Spring - 2013,(low),117,NA,NA,0.22,0.22,NA,0.62,0.641,NA,0.22,0.62,NA,NA,d,colorimetric,-0.021,NA,-3.28,NA,,
105,Spring - 2014,(low),121,<1.00,0.139,0.42,0.418,NA,0.56,0.555,NA,0.42,0.56,NA,NA,d,colorimetric,0.005,NA,0.9,NA,,A
105,Spring - 2015,(low),125,<1.00,0.162,0.29,0.307,NA,0.46,0.464,NA,0.29,0.46,NA,NA,d,colorimetric,-0.004,NA,-0.86,NA,,A
105,Spring - 2016,(low),129,<1.00,0.24,0.25,0.267,NA,0.48,0.48,NA,0.25,0.48,NA,NA,d,colorimetric,0,NA,0,NA,,A
105,Spring - 2017,(low),133,<1.00,0.134,0.11,0.09,NA,<0.25,0.199,NA,0.11,NA,NA,NA,d,colorimetric,NA,NA,NA,NA,,A
105,Spring - 2018,(low),137,<1.00,0.143,0.34,0.326,NA,0.43,0.45,NA,0.34,0.43,NA,NA,d,colorimetric,-0.02,NA,-4.44,NA,,A
118,Fall - 2012,(low),115,NA,NA,0.25,0.228,NA,0.42,0.463,NA,0.25,0.42,NA,NA,d,colorimetric,-0.043,NA,-9.29,NA,,
118,Fall - 2014,(low),123,NA,NA,0.27,0.257,NA,0.55,0.555,NA,0.27,0.55,NA,NA,d,colorimetric,-0.005,NA,-0.9,NA,,
118,Fall - 2018,(high),140,NA,NA,0.71,0.663,NA,1.3,1.14,NA,0.71,1.3,NA,NA,d,colorimetric,0.16,NA,14.04,NA,,
118,Spring - 2012,(low),113,NA,NA,0.11,0.107,NA,0.36,0.349,NA,0.11,0.36,NA,NA,d,colorimetric,0.011,NA,3.15,NA,,
