Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
10,Fall - 2012,(high),116,0.4,0.428,0.44,0.445,colorimetric,NA,0.889,0.4,0.44,NA,0.84,NA,c,NA,NA,-0.049,NA,-5.51,,
10,Fall - 2012,(low),115,0.23,0.264,0.22,0.228,colorimetric,NA,0.463,0.23,0.22,NA,0.45,NA,c,NA,NA,-0.013,NA,-2.81,,
10,Spring - 2012,(high),114,1.05,1.03,1.13,1.13,colorimetric,NA,2.15,1.05,1.13,NA,2.18,NA,c,NA,NA,0.03,NA,1.4,,
10,Spring - 2012,(low),113,0.26,0.258,0.1,0.107,colorimetric,NA,0.349,0.26,0.1,NA,0.36,NA,c,NA,NA,0.011,NA,3.15,,
10,Spring - 2013,(high),118,1.023,0.93,0.57,0.59,colorimetric,NA,1.48,1.023,0.57,NA,1.593,NA,c,NA,NA,0.113,NA,7.64,,
10,Spring - 2013,(low),117,0.44,0.44,0.21,0.22,colorimetric,NA,0.641,0.44,0.21,NA,0.65,NA,c,NA,NA,0.009,NA,1.4,,
10,Spring - 2014,(high),122,0.58,0.59,1.1,1.1,colorimetric,NA,1.7,0.58,1.1,NA,1.68,NA,c,NA,NA,-0.02,NA,-1.18,,
10,Spring - 2014,(low),121,0.16,0.139,0.4,0.418,colorimetric,NA,0.555,0.16,0.4,NA,0.56,NA,c,NA,NA,0.005,NA,0.9,,
10,Spring - 2015,(high),126,0.39,0.392,1.5,1.48,colorimetric,NA,1.86,0.39,1.5,NA,1.89,NA,c,NA,NA,0.03,NA,1.61,,
10,Spring - 2015,(low),125,0.13,0.162,0.294,0.307,colorimetric,NA,0.464,0.13,0.294,NA,0.424,NA,c,NA,NA,-0.04,NA,-8.62,,
12,Fall - 2012,(high),116,0.5,0.428,0.44,0.445,colorimetric,NA,0.889,0.5,0.44,NA,0.94,NA,c,NA,NA,0.051,NA,5.74,,
12,Fall - 2012,(low),115,<0.3,0.264,0.22,0.228,colorimetric,NA,0.463,NA,0.22,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
12,Fall - 2013,(high),120,0.4,0.54,0.26,0.692,colorimetric,NA,1.21,0.4,0.26,NA,0.66,NA,c,NA,NA,-0.55,NA,-45.45,,C
12,Fall - 2013,(low),119,0.6,0.267,0.66,0.271,colorimetric,NA,0.536,0.6,0.66,NA,1.26,NA,c,NA,NA,0.724,NA,135.07,,C
12,Fall - 2014,(high),124,0.3,0.212,0.56,0.556,colorimetric,NA,0.73,0.3,0.56,NA,0.86,NA,c,NA,NA,0.13,NA,17.81,,
12,Fall - 2014,(low),123,0.4,0.32,0.26,0.257,colorimetric,NA,0.555,0.4,0.26,NA,0.66,NA,c,NA,NA,0.105,NA,18.92,,
12,Fall - 2015,(high),128,0.65,0.518,3.08,3.04,colorimetric,NA,3.53,0.65,3.08,NA,3.73,NA,c,NA,NA,0.2,NA,5.67,,
12,Fall - 2015,(low),127,0.1,0.139,0.34,0.302,colorimetric,NA,0.437,0.1,0.34,NA,0.44,NA,c,NA,NA,0.003,NA,0.69,,
12,Fall - 2016,(high),132,0.4,0.317,0.88,0.933,colorimetric,NA,1.24,0.4,0.88,NA,1.28,NA,c,NA,NA,0.04,NA,3.23,,
12,Fall - 2016,(low),131,0.2,0.14,0.34,0.362,colorimetric,NA,0.491,0.2,0.34,NA,0.54,NA,c,NA,NA,0.049,NA,9.98,,
12,Fall - 2017,(high),136,0.5,0.409,0.63,0.639,colorimetric,NA,1.06,0.5,0.63,NA,1.13,NA,c,NA,NA,0.07,NA,6.6,,
12,Fall - 2017,(low),135,0.2,0.18,0.43,0.436,colorimetric,NA,0.616,0.2,0.43,NA,0.63,NA,c,NA,NA,0.014,NA,2.27,,
12,Fall - 2018,(high),140,0.7,0.486,0.655,0.663,colorimetric,NA,1.14,0.7,0.655,NA,1.355,NA,c,NA,NA,0.215,NA,18.86,,
12,Fall - 2018,(low),139,0.25,0.111,0.2,0.2,colorimetric,NA,0.307,0.25,0.2,NA,0.45,NA,c,NA,NA,0.143,NA,46.58,,X
12,Spring - 2012,(high),114,1.1,1.03,1.11,1.13,colorimetric,NA,2.15,1.1,1.11,NA,2.21,NA,c,NA,NA,0.06,NA,2.79,,
12,Spring - 2012,(low),113,<0.3,0.258,0.11,0.107,colorimetric,NA,0.349,NA,0.11,NA,NA,NA,c,NA,NA,NA,NA,NA,,A
12,Spring - 2013,(high),118,1.1,0.93,0.59,0.59,colorimetric,NA,1.48,1.1,0.59,NA,1.69,NA,c,NA,NA,0.21,NA,14.19,,
12,Spring - 2013,(low),117,0.5,0.44,0.22,0.22,colorimetric,NA,0.641,0.5,0.22,NA,0.72,NA,c,NA,NA,0.079,NA,12.32,,
12,Spring - 2014,(high),122,0.6,0.59,1.06,1.1,colorimetric,NA,1.7,0.6,1.06,NA,1.66,NA,c,NA,NA,-0.04,NA,-2.35,,
12,Spring - 2014,(low),121,0.2,0.139,0.43,0.418,colorimetric,NA,0.555,0.2,0.43,NA,0.63,NA,c,NA,NA,0.075,NA,13.51,,
12,Spring - 2015,(high),126,0.4,0.392,1.48,1.48,colorimetric,NA,1.86,0.4,1.48,NA,1.88,NA,c,NA,NA,0.02,NA,1.08,,
12,Spring - 2015,(low),125,0.2,0.162,0.3,0.307,colorimetric,NA,0.464,0.2,0.3,NA,0.5,NA,c,NA,NA,0.036,NA,7.76,,
