,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
59,59,Fall - 2012,(low),115,0.19,0.264,0.23,0.228,colorimetric,0.46,0.463,0.19,0.23,0.46,0.42,-0.04,d,colorimetric,-0.003,-0.043,-0.65,-9.29,,,0,0.46,-0.003,-0.003,d (low)
60,59,Fall - 2013,(high),120,0.55,0.54,0.69,0.692,colorimetric,1.25,1.21,0.55,0.69,1.25,1.24,-0.01,d,colorimetric,0.04,0.03,3.31,2.48,,,0,1.25,0.04,0.04,d (high)
61,59,Fall - 2013,(low),119,0.26,0.267,0.28,0.271,colorimetric,0.54,0.536,0.26,0.28,0.54,0.54,0,d,colorimetric,0.004,0.004,0.75,0.75,,,0,0.54,0.004,0.004,d (low)
62,59,Fall - 2014,(high),124,0.15,0.212,0.54,0.556,colorimetric,0.75,0.73,0.15,0.54,0.75,0.69,-0.06,d,colorimetric,0.02,-0.04,2.74,-5.48,,,0,0.75,0.02,0.02,d (high)
63,59,Fall - 2014,(low),123,0.28,0.32,0.25,0.257,colorimetric,0.56,0.555,0.28,0.25,0.56,0.53,-0.03,d,colorimetric,0.005,-0.025,0.9,-4.5,,,0,0.56,0.005,0.005,d (low)
64,59,Fall - 2015,(high),128,0.51,0.518,3.11,3.04,colorimetric,3.57,3.53,0.51,3.11,3.57,3.62,0.05,d,colorimetric,0.04,0.09,1.13,2.55,,,0,3.57,0.04,0.04,d (high)
65,59,Fall - 2015,(low),127,0.13,0.139,0.31,0.302,colorimetric,0.43,0.437,0.13,0.31,0.43,0.44,0.01,d,colorimetric,-0.007,0.003,-1.6,0.69,,,0,0.43,-0.007,-0.007,d (low)
66,59,Fall - 2016,(high),132,0.27,0.317,0.935,0.933,colorimetric,1.25,1.24,0.27,0.935,1.25,1.205,-0.045,d,colorimetric,0.01,-0.035,0.81,-2.82,,,0,1.25,0.01,0.01,d (high)
67,59,Fall - 2018,(high),140,0.46,0.486,0.67,0.663,colorimetric,1.12,1.14,0.46,0.67,1.12,1.13,0.01,d,colorimetric,-0.02,-0.01,-1.75,-0.88,,,0,1.12,-0.02,-0.02,d (high)
68,59,Fall - 2018,(low),139,0.1,0.111,0.19,0.2,colorimetric,0.31,0.307,0.1,0.19,0.31,0.29,-0.02,d,colorimetric,0.003,-0.017,0.98,-5.54,,,0,0.31,0.003,0.003,d (low)
70,59,Spring - 2012,(low),113,0.25,0.258,0.107,0.107,colorimetric,0.346,0.349,0.25,0.107,0.346,0.357,0.011,d,colorimetric,-0.003,0.008,-0.86,2.29,,,0,0.346,-0.003,-0.003,d (low)
72,59,Spring - 2013,(low),117,0.45,0.44,0.22,0.22,colorimetric,0.63,0.641,0.45,0.22,0.63,0.67,0.04,d,colorimetric,-0.011,0.029,-1.72,4.52,,,0,0.63,-0.011,-0.011,d (low)
73,59,Spring - 2014,(high),122,0.58,0.59,1.1,1.1,colorimetric,1.66,1.7,0.58,1.1,1.66,1.68,0.02,d,colorimetric,-0.04,-0.02,-2.35,-1.18,,,0,1.66,-0.04,-0.04,d (high)
74,59,Spring - 2014,(low),121,0.12,0.139,0.419,0.418,colorimetric,0.57,0.555,0.12,0.419,0.57,0.539,-0.031,d,colorimetric,0.015,-0.016,2.7,-2.88,,,0,0.57,0.015,0.015,d (low)
75,59,Spring - 2015,(high),126,0.32,0.392,1.48,1.48,colorimetric,1.86,1.86,0.32,1.48,1.86,1.8,-0.06,d,colorimetric,0,-0.06,0,-3.23,,,0,1.86,0,0,d (high)
76,59,Spring - 2015,(low),125,0.13,0.162,0.306,0.307,colorimetric,0.483,0.464,0.13,0.306,0.483,0.436,-0.047,d,colorimetric,0.019,-0.028,4.09,-6.03,,,0,0.483,0.019,0.019,d (low)
77,59,Spring - 2016,(high),130,0.52,0.547,1.85,1.81,colorimetric,2.32,2.32,0.52,1.85,2.32,2.37,0.05,d,colorimetric,0,0.05,0,2.16,,,0,2.32,0,0,d (high)
78,59,Spring - 2016,(low),129,0.17,0.24,0.27,0.267,colorimetric,0.46,0.48,0.17,0.27,0.46,0.44,-0.02,d,colorimetric,-0.02,-0.04,-4.17,-8.33,,,0,0.46,-0.02,-0.02,d (low)
79,59,Spring - 2017,(high),134,0.22,0.196,0.8,0.801,colorimetric,0.94,0.98,0.22,0.8,0.94,1.02,0.08,d,colorimetric,-0.04,0.04,-4.08,4.08,,,0,0.94,-0.04,-0.04,d (high)
80,59,Spring - 2017,(low),133,0.11,0.134,0.09,0.09,colorimetric,0.18,0.199,0.11,0.09,0.18,0.2,0.02,d,colorimetric,-0.019,0.001,-9.55,0.5,,,0,0.18,-0.019,-0.019,d (low)
81,59,Spring - 2018,(high),138,0.49,0.495,0.772,0.79,colorimetric,1.28,1.27,0.49,0.772,1.28,1.262,-0.018,d,colorimetric,0.01,-0.008,0.79,-0.63,,,0,1.28,0.01,0.01,d (high)
82,59,Spring - 2018,(low),137,0.13,0.143,0.322,0.326,colorimetric,0.45,0.45,0.13,0.322,0.45,0.452,0.002,d,colorimetric,0,0.002,0,0.44,,,0,0.45,0,0,d (low)
83,64,Fall - 2012,(high),116,NA,NA,0.46,0.445,NA,0.86,0.889,NA,0.46,0.86,NA,NA,d,colorimetric,-0.029,NA,-3.26,NA,,,0,0.86,-0.029,-0.029,d (high)
84,64,Fall - 2012,(low),115,NA,NA,0.24,0.228,NA,0.46,0.463,NA,0.24,0.46,NA,NA,d,colorimetric,-0.003,NA,-0.65,NA,,,0,0.46,-0.003,-0.003,d (low)
85,64,Fall - 2014,(high),124,NA,NA,0.57,0.556,NA,0.74,0.73,NA,0.57,0.74,NA,NA,d,colorimetric,0.01,NA,1.37,NA,,,0,0.74,0.01,0.01,d (high)
86,64,Fall - 2014,(low),123,NA,NA,0.26,0.257,NA,0.54,0.555,NA,0.26,0.54,NA,NA,d,colorimetric,-0.015,NA,-2.7,NA,,,0,0.54,-0.015,-0.015,d (low)
87,64,Fall - 2016,(high),132,NA,NA,NA,NA,NA,1.23,1.24,NA,NA,1.23,NA,NA,d,colorimetric,-0.01,NA,-0.81,NA,,,0,1.23,-0.01,-0.01,d (high)
88,64,Fall - 2016,(low),131,NA,NA,0.37,0.362,NA,0.5,0.491,NA,0.37,0.5,NA,NA,d,colorimetric,0.009,NA,1.83,NA,,,0,0.5,0.009,0.009,d (low)
89,64,Spring - 2015,(high),126,NA,NA,1.499,1.48,NA,1.863,1.86,NA,1.499,1.863,NA,NA,d,colorimetric,0.003,NA,0.16,NA,,,0,1.863,0.003,0.003,d (high)
90,64,Spring - 2015,(low),125,NA,NA,0.311,0.307,NA,0.452,0.464,NA,0.311,0.452,NA,NA,d,colorimetric,-0.012,NA,-2.59,NA,,,0,0.452,-0.012,-0.012,d (low)
91,64,Spring - 2017,(high),134,NA,NA,0.8102,0.801,NA,0.9819,0.98,NA,0.8102,0.9819,NA,NA,d,colorimetric,0.0019,NA,0.19,NA,,,0,0.9819,0.0019,0.0019,d (high)
92,64,Spring - 2017,(low),133,NA,NA,0.09,0.09,NA,0.2188,0.199,NA,0.0897,0.2188,NA,NA,d,colorimetric,0.0198,NA,9.95,NA,,,0,0.2188,0.0198,0.0198,d (low)
94,80,Spring - 2012,(low),113,NA,NA,0.11,0.107,NA,0.329,0.349,NA,0.11,0.329,NA,NA,d,colorimetric,-0.02,NA,-5.73,NA,,,0,0.329,-0.02,-0.02,d (low)
95,85,Spring - 2016,(low),129,0.25,0.24,0.262,0.267,colorimetric,0.52,0.48,0.25,0.262,0.52,0.512,-0.008,d,colorimetric,0.04,0.032,8.33,6.67,,,0,0.52,0.04,0.04,d (low)
96,85,Spring - 2017,(low),133,0.104,0.134,0.089,0.09,colorimetric,0.194,0.199,0.104,0.089,0.194,0.193,-0.001,d,colorimetric,NA,-0.006,NA,-3.02,,,0,0.194,-0.005,-0.005,d (low)
97,105,Fall - 2012,(low),115,NA,NA,0.23,0.228,NA,0.42,0.463,NA,0.23,0.42,NA,NA,d,colorimetric,-0.043,NA,-9.29,NA,,,0,0.42,-0.043,-0.043,d (low)
98,105,Fall - 2014,(low),123,NA,NA,0.24,0.257,NA,0.56,0.555,NA,0.24,0.56,NA,NA,d,colorimetric,0.005,NA,0.9,NA,,,0,0.56,0.005,0.005,d (low)
99,105,Spring - 2012,(low),113,NA,NA,0.1,0.107,NA,0.3,0.349,NA,0.1,0.3,NA,NA,d,colorimetric,-0.049,NA,-14.04,NA,,,0,0.3,-0.049,-0.049,d (low)
100,105,Spring - 2013,(low),117,NA,NA,0.22,0.22,NA,0.62,0.641,NA,0.22,0.62,NA,NA,d,colorimetric,-0.021,NA,-3.28,NA,,,0,0.62,-0.021,-0.021,d (low)
101,118,Fall - 2012,(low),115,NA,NA,0.25,0.228,NA,0.42,0.463,NA,0.25,0.42,NA,NA,d,colorimetric,-0.043,NA,-9.29,NA,,,0,0.42,-0.043,-0.043,d (low)
102,118,Fall - 2014,(low),123,NA,NA,0.27,0.257,NA,0.55,0.555,NA,0.27,0.55,NA,NA,d,colorimetric,-0.005,NA,-0.9,NA,,,0,0.55,-0.005,-0.005,d (low)
104,118,Spring - 2012,(low),113,NA,NA,0.11,0.107,NA,0.36,0.349,NA,0.11,0.36,NA,NA,d,colorimetric,0.011,NA,3.15,NA,,,0,0.36,0.011,0.011,d (low)
105,118,Spring - 2015,(high),126,NA,NA,1.58,1.48,NA,1.81,1.86,NA,1.58,1.81,NA,NA,d,colorimetric,-0.05,NA,-2.69,NA,,,0,1.81,-0.05,-0.05,d (high)
106,118,Spring - 2015,(low),125,NA,NA,0.34,0.307,NA,0.51,0.464,NA,0.34,0.51,NA,NA,d,colorimetric,0.046,NA,9.91,NA,,,0,0.51,0.046,0.046,d (low)
107,118,Spring - 2016,(low),129,NA,NA,0.25,0.267,NA,0.47,0.48,NA,0.25,0.47,NA,NA,d,colorimetric,-0.01,NA,-2.08,NA,,,0,0.47,-0.01,-0.01,d (low)
111,118,Spring - 2018,(low),137,NA,NA,0.33,0.326,NA,0.472,0.45,NA,0.33,0.472,NA,NA,d,colorimetric,0.022,NA,4.89,NA,,,0,0.472,0.022,0.022,d (low)
112,193,Fall - 2013,(high),120,NA,NA,0.69,0.692,NA,1.23,1.21,NA,0.69,1.23,NA,NA,d,colorimetric,0.02,NA,1.65,NA,,,0,1.23,0.02,0.02,d (high)
113,193,Fall - 2013,(low),119,NA,NA,0.27,0.271,NA,0.52,0.536,NA,0.27,0.52,NA,NA,d,colorimetric,-0.016,NA,-2.99,NA,,,0,0.52,-0.016,-0.016,d (low)
114,193,Fall - 2018,(high),140,NA,NA,0.68,0.663,NA,1.17,1.14,NA,0.68,1.17,NA,NA,d,colorimetric,0.03,NA,2.63,NA,,,0,1.17,0.03,0.03,d (high)
115,193,Spring - 2012,(high),114,NA,NA,1.11,1.13,NA,2.16,2.15,NA,1.11,2.16,NA,NA,d,colorimetric,0.01,NA,0.47,NA,,,0,2.16,0.01,0.01,d (high)
116,193,Spring - 2012,(low),113,NA,NA,0.11,0.107,NA,0.36,0.349,NA,0.11,0.36,NA,NA,d,colorimetric,0.011,NA,3.15,NA,,,0,0.36,0.011,0.011,d (low)
117,198,Fall - 2012,(high),116,NA,NA,0.445,0.445,NA,0.876,0.889,NA,0.445,0.876,NA,NA,d,colorimetric,-0.013,NA,-1.46,NA,,,0,0.876,-0.013,-0.013,d (high)
118,198,Fall - 2012,(low),115,NA,NA,0.229,0.228,NA,0.465,0.463,NA,0.229,0.465,NA,NA,d,colorimetric,0.002,NA,0.43,NA,,,0,0.465,0.002,0.002,d (low)
119,198,Fall - 2013,(high),120,NA,NA,0.692,0.692,NA,1.286,1.21,NA,0.692,1.286,NA,NA,d,colorimetric,0.076,NA,6.28,NA,,,0,1.286,0.076,0.076,d (high)
120,198,Fall - 2013,(low),119,NA,NA,0.273,0.271,NA,0.522,0.536,NA,0.273,0.522,NA,NA,d,colorimetric,-0.014,NA,-2.61,NA,,,0,0.522,-0.014,-0.014,d (low)
121,198,Fall - 2014,(high),124,NA,NA,0.567,0.556,NA,0.73,0.73,NA,0.567,0.73,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.73,0,0,d (high)
122,198,Fall - 2014,(low),123,NA,NA,0.257,0.257,NA,0.563,0.555,NA,0.257,0.563,NA,NA,d,colorimetric,0.008,NA,1.44,NA,,,0,0.563,0.008,0.008,d (low)
123,198,Fall - 2015,(high),128,NA,NA,3.024,3.04,NA,3.522,3.53,NA,3.024,3.522,NA,NA,d,colorimetric,-0.008,NA,-0.23,NA,,,0,3.522,-0.008,-0.008,d (high)
124,198,Fall - 2015,(low),127,NA,NA,0.296,0.302,NA,0.427,0.437,NA,0.296,0.427,NA,NA,d,colorimetric,-0.01,NA,-2.29,NA,,,0,0.427,-0.01,-0.01,d (low)
125,198,Fall - 2016,(high),132,NA,NA,0.961,0.933,NA,1.246,1.24,NA,0.961,1.246,NA,NA,d,colorimetric,0.006,NA,0.48,NA,,,0,1.246,0.006,0.006,d (high)
126,198,Fall - 2016,(low),131,NA,NA,0.36,0.362,NA,0.467,0.491,NA,0.36,0.467,NA,NA,d,colorimetric,-0.024,NA,-4.89,NA,,,0,0.467,-0.024,-0.024,d (low)
127,198,Fall - 2017,(high),136,NA,NA,0.676,0.639,NA,1.073,1.06,NA,0.676,1.073,NA,NA,d,colorimetric,0.013,NA,1.23,NA,,,0,1.073,0.013,0.013,d (high)
128,198,Fall - 2017,(low),135,NA,NA,0.459,0.436,NA,0.592,0.616,NA,0.459,0.592,NA,NA,d,colorimetric,-0.024,NA,-3.9,NA,,,0,0.592,-0.024,-0.024,d (low)
129,198,Fall - 2018,(high),140,NA,NA,0.678,0.663,NA,1.155,1.14,NA,0.678,1.155,NA,NA,d,colorimetric,0.015,NA,1.32,NA,,,0,1.155,0.015,0.015,d (high)
130,198,Fall - 2018,(low),139,NA,NA,0.2,0.2,NA,0.313,0.307,NA,0.2,0.313,NA,NA,d,colorimetric,0.006,NA,1.95,NA,,,0,0.313,0.006,0.006,d (low)
131,198,Spring - 2012,(high),114,NA,NA,1.169,1.13,NA,2.214,2.15,NA,1.169,2.214,NA,NA,d,colorimetric,0.064,NA,2.98,NA,,,0,2.214,0.064,0.064,d (high)
132,198,Spring - 2012,(low),113,NA,NA,0.113,0.107,NA,0.341,0.349,NA,0.113,0.341,NA,NA,d,colorimetric,-0.008,NA,-2.29,NA,,,0,0.341,-0.008,-0.008,d (low)
133,198,Spring - 2013,(high),118,NA,NA,0.623,0.59,NA,1.53,1.48,NA,0.623,1.53,NA,NA,d,colorimetric,0.05,NA,3.38,NA,,,0,1.53,0.05,0.05,d (high)
134,198,Spring - 2013,(low),117,NA,NA,0.235,0.22,NA,0.645,0.641,NA,0.235,0.645,NA,NA,d,colorimetric,0.004,NA,0.62,NA,,,0,0.645,0.004,0.004,d (low)
135,198,Spring - 2014,(high),122,NA,NA,1.099,1.1,NA,1.737,1.7,NA,1.099,1.737,NA,NA,d,colorimetric,0.037,NA,2.18,NA,,,0,1.737,0.037,0.037,d (high)
136,198,Spring - 2014,(low),121,NA,NA,0.415,0.418,NA,0.595,0.555,NA,0.415,0.595,NA,NA,d,colorimetric,0.04,NA,7.21,NA,,,0,0.595,0.04,0.04,d (low)
137,198,Spring - 2015,(high),126,NA,NA,1.475,1.48,NA,1.861,1.86,NA,1.475,1.861,NA,NA,d,colorimetric,0.001,NA,0.05,NA,,,0,1.861,0.001,0.001,d (high)
138,198,Spring - 2015,(low),125,NA,NA,0.314,0.307,NA,0.483,0.464,NA,0.314,0.483,NA,NA,d,colorimetric,0.019,NA,4.09,NA,,,0,0.483,0.019,0.019,d (low)
140,198,Spring - 2016,(low),129,NA,NA,0.265,0.267,NA,0.445,0.48,NA,0.265,0.445,NA,NA,d,colorimetric,-0.035,NA,-7.29,NA,,,0,0.445,-0.035,-0.035,d (low)
