lagoslakeid,programname,sampledepth_lagos,date,tn_d,no2no3,tkn,tn_censorcode,no2no3_censorcode,tkn_censorcode,tn_c
827,WI_LTER,0,1996-06-11,0.817,0.138,700,NC2,NC4,NC3,0.838
827,WI_LTER,0,1996-06-24,0.929,0.064,820,NC2,NC4,NC3,0.884
827,WI_LTER,0,1996-07-10,1.184,0.013,1200,NC2,NC3,NC4,1.213
827,WI_LTER,0,1996-07-24,0.933,0,1040,NC2,LE3,NC3,1.04
827,WI_LTER,0,1996-08-07,0.657,0,1000,NC2,NC3,NC3,1
827,WI_LTER,0,1996-08-21,0.876,0.003,900,NC2,NC4,NC4,0.903
827,WI_LTER,0,1996-11-07,0.822,0.037,1000,NC2,NC4,NC3,1.037
827,WI_LTER,0,1997-04-10,1.31,0.297,1000,NC2,NC4,NC3,1.297
827,WI_LTER,0,1997-05-05,1.066,0.253,800,NC2,NC4,NC3,1.053
827,WI_LTER,0,1997-06-11,0.597,0,600,NC2,LE3,NC3,0.6
827,WI_LTER,0,1997-07-08,0.985,0.556,1000,NC1,NC3,NC4,1.556
827,WI_LTER,0,1997-07-25,1.099,0.01,1000,NC2,LE4,NC4,1.01
827,WI_LTER,0,1997-10-28,0.894,0.038,1000,NC2,NC4,NC4,1.038
827,WI_LTER,0,1997-11-20,0.926,0.117,800,NC2,NC4,NC4,0.917
827,WI_LTER,0,1998-03-25,1.148,0.38,740,NC2,NC4,NC3,1.12
827,WI_LTER,0,1998-04-15,1.12,0.092,840,NC2,NC4,NC3,0.932
827,WI_LTER,0,1998-05-12,0.776,0.072,720,NC2,NC4,NC3,0.792
827,WI_LTER,0,1998-06-10,1.009,0.017,1030,NC2,NC3,NC3,1.047
827,WI_LTER,0,1998-06-24,0.916,0.006,990,NC2,NC4,NC3,0.996
827,WI_LTER,0,1999-04-28,0.927,0.211,830,NC2,NC4,NC4,1.041
827,WI_LTER,0,1999-05-11,0.774,0.08,790,NC2,NC4,NC4,0.87
827,WI_LTER,0,1999-05-24,0.765,0.03,860,NC2,NC4,NC4,0.89
827,WI_LTER,0,1999-06-08,0.898,0.009,850,NC2,NC4,NC4,0.859
827,WI_LTER,0,1999-06-22,0.766,0.006,930,NC2,NC4,NC4,0.936
827,WI_LTER,0,1999-07-09,0.011,0.02,1310,LE2,NC3,NC4,1.33
827,WI_LTER,0,1999-07-19,1.07,0.012,1120,NC2,NC4,NC4,1.132
827,WI_LTER,0,1999-08-03,0.943,0.006,910,NC2,NC3,NC4,0.916
827,WI_LTER,0,1999-08-17,0.827,0.024,980,NC1,NC3,NC3,1.004
827,WI_LTER,0,1999-08-31,0.903,0.008,990,NC2,NC4,NC4,0.998
827,WI_LTER,0,1999-09-28,1.035,0.013,1040,NC2,NC4,NC4,1.053
827,WI_LTER,0,1999-10-25,0.843,0.022,780,NC2,NC4,NC4,0.802
827,WI_LTER,0,1999-11-29,0.833,0.085,730,NC2,NC4,NC4,0.815
827,WI_LTER,1,2000-02-24,1.079,0.271,930,NC2,NC4,NC4,1.201
827,WI_LTER,0,2000-03-16,1.027,0.344,790,NC2,NC4,NC4,1.134
827,WI_LTER,0,2000-04-12,0.829,0.188,700,NC2,NC4,NC4,0.888
827,WI_LTER,0,2000-04-26,0.742,0.167,670,NC2,NC4,NC4,0.837
827,WI_LTER,0,2000-05-10,0.837,0.071,850,NC2,NC4,NC4,0.921
827,WI_LTER,0,2000-05-24,0.698,0.024,890,NC2,NC4,NC4,0.914
827,WI_LTER,0,2000-06-05,0.94,0.09,760,NC2,NC4,NC4,0.85
827,WI_LTER,0,2000-06-20,0.908,0.006,890,NC2,NC4,NC4,0.896
827,WI_LTER,0,2000-07-04,0.933,0.008,980,NC2,NC3,NC3,0.988
827,WI_LTER,0,2000-07-18,1.011,0.012,950,NC1,NC4,NC4,0.962
827,WI_LTER,0,2000-08-01,1.055,0.004,1060,NC2,NC3,NC4,1.064
827,WI_LTER,0,2000-08-14,1.025,0.002,1090,NC2,NC4,NC4,1.092
827,WI_LTER,0,2000-08-29,1.049,0.007,780,NC2,NC3,NC4,0.787
827,WI_LTER,0,2000-09-26,1.007,0.012,1210,NC2,NC4,NC4,1.222
827,WI_LTER,0,2000-10-23,0.862,0.008,680,NC1,NC4,NC4,0.688
827,WI_LTER,0,2000-11-20,1.201,0.111,760,NC1,NC4,NC4,0.871
827,WI_LTER,0,2001-01-08,0.939,0.193,790,NC2,NC4,NC4,0.983
827,WI_LTER,0,2001-04-12,0.997,0.264,610,NC2,NC3,NC4,0.874
827,WI_LTER,0,2001-04-23,0.823,0.131,1030,NC2,NC4,NC4,1.161
827,WI_LTER,0,2001-05-07,1.015,0.079,1110,NC2,NC4,NC4,1.189
827,WI_LTER,0,2001-05-23,1.096,0.006,1340,NC2,NC3,NC4,1.346
827,WI_LTER,0,2001-06-06,1.172,0.015,1200,NC2,NC3,NC4,1.215
827,WI_LTER,0,2001-06-18,0.957,0.004,920,NC2,NC4,NC4,0.924
827,WI_LTER,0,2001-07-03,1.08,0.005,1200,NC2,NC3,NC4,1.205
827,WI_LTER,0,2001-07-16,1.01,0.027,912,NC2,NC3,NC3,0.939
827,WI_LTER,0,2001-08-01,0.869,0.011,870,NC2,NC4,NC3,0.881
827,WI_LTER,0,2001-08-15,1.202,0.018,1120,NC2,NC3,NC3,1.138
827,WI_LTER,0,2001-08-28,0.903,0.011,930,NC2,NC4,NC3,0.941
827,WI_LTER,0,2001-09-24,1.422,0.059,1190,NC2,NC3,NC3,1.249
827,WI_LTER,0,2001-10-25,0.992,0.022,1340,NC2,NC4,NC4,1.362
827,WI_LTER,0,2001-11-29,0.892,0.056,1160,NC1,NC4,NC4,1.216
827,WI_LTER,0,2002-03-19,1.113,0.272,870,NC2,NC4,NC4,1.142
827,WI_LTER,0,2002-03-26,1.187,1.68,1530,NC2,NC4,NC4,3.21
827,WI_LTER,0,2002-04-09,0.97,0.195,700,NC2,NC4,NC4,0.895
827,WI_LTER,0,2002-04-22,0.806,0.005,910,NC1,NC3,NC4,0.915
827,WI_LTER,0,2002-05-07,0.701,0.041,830,NC1,NC4,NC4,0.871
827,WI_LTER,0,2002-05-23,0.82,0.011,860,NC1,NC4,NC4,0.871
827,WI_LTER,0,2002-06-06,0.88,0.129,930,NC2,NC4,NC4,1.059
827,WI_LTER,0,2002-06-20,0.888,0.02,970,NC2,NC4,NC4,0.99
827,WI_LTER,0,2002-07-03,1.192,0.023,1160,NC2,NC4,NC4,1.183
827,WI_LTER,0,2002-07-18,0.925,0.072,1120,NC2,NC3,NC4,1.192
827,WI_LTER,0,2002-07-31,1.218,0.01,1180,NC2,NC4,NC4,1.19
827,WI_LTER,0,2002-08-15,1.352,0.006,1210,NC2,NC3,NC4,1.216
827,WI_LTER,0,2002-08-28,1.445,0.163,1320,NC2,NC3,NC4,1.483
827,WI_LTER,0,2002-09-26,1.352,0.05,1170,NC1,NC3,NC4,1.22
827,WI_LTER,0,2002-10-24,1.197,0.064,1010,NC2,NC3,NC4,1.074
827,WI_LTER,0,2002-11-20,1.229,0.15,990,NC1,NC4,NC4,1.14
827,WI_LTER,0,2003-01-28,0.979,0.292,670,NC1,NC4,NC4,0.962
827,WI_LTER,0,2003-08-22,1.866,0.048,1410,NC1,NC3,NC4,1.458
827,WI_LTER,0,2005-02-09,2.158,0.433,1610,NC1,NC4,NC4,2.043
827,WI_LTER,0,2005-04-29,0.389,0.012,560,NC1,NC3,NC4,0.572
827,WI_LTER,0,2005-05-12,0.327,0.026,850,NC1,NC3,NC4,0.876
827,WI_LTER,0,2005-05-25,0.617,0.011,630,NC2,NC4,NC4,0.641
827,WI_LTER,0,2005-06-08,0.733,0.008,600,NC2,NC4,NC4,0.608
827,WI_LTER,0,2005-06-22,0.739,0.001,630,NC2,NC3,NC3,0.631
827,WI_LTER,0,2005-07-06,0.865,0.005,1030,NC2,NC3,NC4,1.035
827,WI_LTER,0,2005-07-22,0.911,0.003,1080,NC2,NC4,NC3,1.083
827,WI_LTER,0,2005-08-04,0.834,0.012,910,NC2,NC4,NC4,0.922
827,WI_LTER,0,2005-08-16,0.754,0.005,730,NC2,NC4,NC3,0.735
827,WI_LTER,0,2005-08-31,0.91,0.001,960,NC2,NC4,NC4,0.961
827,WI_LTER,0,2005-09-29,0.911,0.005,870,NC2,NC4,NC4,0.875
827,WI_LTER,0,2005-10-26,1.166,0.076,1100,NC2,NC3,NC4,1.176
827,WI_LTER,0,2005-11-22,1.222,0.036,1030,NC2,NC4,NC4,1.066
827,WI_LTER,0,2006-02-22,1.273,0.006,1330,NC2,NC4,NC3,1.336
827,WI_LTER,0,2006-04-10,0.642,0.022,810,NC1,NC4,NC3,0.832
827,WI_LTER,0,2006-05-08,0.783,0.026,590,NC2,NC4,NC4,0.616
827,WI_LTER,0,2006-05-17,0.929,0.019,740,NC2,NC4,NC4,0.759
827,WI_LTER,0,2006-06-01,0.746,0.004,660,NC2,NC3,NC4,0.664
827,WI_LTER,0,2006-06-14,0.856,0.02,820,NC2,NC4,NC4,0.84
827,WI_LTER,0,2006-06-28,0.977,0.002,1020,NC2,NC3,NC4,1.022
827,WI_LTER,0,2006-07-12,1,0.002,1080,NC2,NC3,NC4,1.082
827,WI_LTER,0,2006-07-26,1.087,0.002,840,NC2,NC3,NC4,0.842
827,WI_LTER,0,2006-08-09,0.998,0.012,1280,NC2,NC3,NC4,1.292
827,WI_LTER,0,2006-08-22,0.874,0.002,1060,NC2,NC4,NC4,1.062
827,WI_LTER,0,2006-09-14,0.99,0.037,930,NC2,NC3,NC4,0.967
827,WI_LTER,0,2006-10-04,0.906,0,860,NC2,NC3,NC4,0.86
827,WI_LTER,0,2006-11-02,1.089,0.064,770,NC2,NC4,NC4,0.834
827,WI_LTER,0,2007-03-08,1.311,0.317,970,NC2,NC4,NC4,1.287
827,WI_LTER,0,2007-04-03,1.142,0.293,790,NC2,NC4,NC4,1.083
827,WI_LTER,0,2007-04-18,0.956,0.096,630,NC1,NC4,NC4,0.726
827,WI_LTER,0,2007-05-03,0.814,0.015,730,NC2,NC4,NC4,0.745
827,WI_LTER,0,2007-05-15,0.695,0.017,880,NC2,NC4,NC4,0.897
827,WI_LTER,0,2007-05-30,0.729,0.012,780,NC2,NC4,NC4,0.792
827,WI_LTER,0,2007-06-13,0.683,0.034,900,NC2,NC4,NC4,0.934
827,WI_LTER,0,2007-06-26,0.721,0.032,720,NC2,NC3,NC4,0.752
827,WI_LTER,0,2007-07-11,0.91,0.004,1090,NC2,NC4,NC4,1.094
